personId,professionId
nm0136057,4
nm0357421,4
nm0493339,4
nm0310797,4
nm0521554,4
nm0177504,4
nm0669311,4
nm0010471,4
nm0950391,4
nm0800943,4
nm0829054,4
nm0175722,4
nm0380670,4
nm0556067,4
nm0398343,4
nm0290358,23
nm0579673,23
nm0809059,23
nm0001897,23
nm0233827,23
nm0259689,23
nm0374189,23
nm0004637,23
nm0866462,23
nm0005852,23
nm0951763,23
nm0123785,23
nm0630119,23
nm0124833,23
nm0923118,23
nm0218760,23
nm0244891,23
nm3918035,23
nm0598971,23
nm0368359,23
nm0260556,23
nm0415663,23
nm0214303,23
nm0353091,23
nm0357421,23
nm0310797,23
nm0386227,23
nm1244349,23
nm0614107,23
nm0000209,25
nm0000151,25
nm0348409,25
nm0006669,25
nm0000175,25
nm0000008,25
nm0000199,25
nm0001001,25
nm0000553,25
nm0000146,25
nm0001426,25
nm0447745,25
nm0000134,25
nm0000380,25
nm0000020,25
nm0002011,25
nm0000842,25
nm0275835,25
nm0000288,25
nm0005132,25
nm0001173,25
nm0000323,25
nm0000704,25
nm0001557,25
nm0005212,25
nm0089217,25
nm8662749,25
nm0913300,25
nm0000237,25
nm0000168,25
nm0000246,25
nm0000233,25
nm0004744,25
nm0801728,25
nm0000093,25
nm0001570,25
nm0001533,25
nm0340260,25
nm0000399,25
nm0657333,25
nm0880243,25
nm0000142,25
nm0908919,25
nm0001812,25
nm0321294,25
nm0898812,25
nm0408488,25
nm0000293,25
nm0000138,25
nm0330687,25
nm0680983,25
nm0913822,25
nm1421814,25
nm8904193,25
nm0005494,25
nm0000158,25
nm0000641,25
nm0343165,25
nm0564768,25
nm0000434,25
nm0000148,25
nm0001850,25
nm0449984,25
nm0000206,25
nm0000401,25
nm0915989,25
nm0005428,25
nm0000140,25
nm0000197,25
nm0077720,25
nm0110480,25
nm0001232,25
nm0369142,25
nm0450181,25
nm0000501,25
nm0000582,25
nm0000217,25
nm0000841,25
nm0005686,25
nm0000905,25
nm0134493,25
nm0243842,25
nm0148437,25
nm1179105,25
nm1129884,25
nm0618690,25
nm1249574,25
nm0513130,25
nm0000071,25
nm0000859,25
nm0593775,25
